Date,BIDI11,NTCO3
2020-06-22,12.5767183303833,41.04999923706055
2020-06-23,12.663315773010254,42.34000015258789
2020-06-24,12.52342700958252,41.29999923706055
2020-06-25,12.953086853027344,41.86000061035156
2020-06-26,13.615896224975586,39.900001525878906
2020-06-29,14.395279884338379,40.02000045776367
2020-06-30,13.722477912902832,39.900001525878906
2020-07-01,14.881562232971191,40.279998779296875
2020-07-02,14.71502685546875,40.810001373291016
2020-07-03,14.974821090698242,41.29999923706055
2020-07-06,15.25,40.65999984741211
2020-07-07,15.033332824707031,39.90999984741211
2020-07-08,15.399999618530273,42.31999969482422
2020-07-09,15.373332977294922,42.150001525878906
2020-07-10,16.72333335876465,42.029998779296875
2020-07-13,16.333332061767578,39.900001525878906
2020-07-14,16.376665115356445,39.68000030517578
